Drink,Old volume,Calories,Caffeine (mg),Type,Volume (ml)
Tea (Iced),236.588,0,47,Tea,237
Tea (Instant),236.588,0,40,Tea,237
Tea (Jasmine),236.588,0,25,Tea,237
Tea (Oolong),236.588,0,37,Tea,237
Tea (White),236.588,0,28,Tea,237
Teavana Tea,236.588,0,41,Tea,237
Twig Tea (Kukicha),236.588,0,25,Tea,237
Waka Instant Tea,236.588,0,30,Tea,237
Yellow Tea,236.588,0,63,Tea,237
Yerba Mate Tea,236.588,0,40,Tea,237
YMateina Yerba Mate,236.588,0,80,Tea,237
Zest Highly Caffeinated Tea,236.588,0,150,Tea,237
Oregon Chai Tea,177.441,130,45,Tea,177
Pacific Chai,177.441,90,29,Tea,177
Perrier Energize,250.19181,35,99,Water,250
3 Water,499.79215,0,50,Water,500
Heroec Energy Water,499.79215,0,60,Water,500
Caribou BOUsted Sparkling Water,340.09525,0,75,Water,340
Phocus Sparkling Water,340.09525,0,75,Water,340
Poland Spring Sparkling Energy Water,340.09525,35,75,Water,340
Perrier Sparkling Water,329.744525,0,0,Water,330
VitaminWater Energy,591.47,100,50,Water,591
VitaRain Zero Enhanced Water,591.47,0,42,Water,591
Water Joe,591.47,0,70,Water,591
Polar Frost Plus Energy,502.7495,10,67,Water,503
Hint Caffeine Kick Water,473.176,0,60,Water,473
Sparkling Ice +Caffeine,473.176,5,70,Water,473
AHA Sparkling Water,354.882,0,30,Water,355
Arti Sparkling Water,354.882,0,120,Water,355
Bubbl'r Sparkling Water,354.882,5,69,Water,355
Bubly Bounce Sparkling Water,354.882,0,35,Water,355
Bubly Sparkling Water,354.882,0,0,Water,355
GURU Sparkling Energy Water,354.882,0,100,Water,355
La Croix Sparkling Water,354.882,0,0,Water,355
Limitless Sparkling Water,354.882,0,35,Water,355
Pep Talk Sparkling Water,354.882,0,55,Water,355
Polar Seltzer Water,354.882,0,0,Water,355
Yerbae Sparkling Water,354.882,0,100,Water,355
Tonic Water,295.735,110,0,Water,296
MiO Energy Water Enhancer,236.588,0,60,Water,237
